,Band name,Country of origin,Location,Status,Formed in,Years active,Genre,Lyrical themes,Current/Last label,Discography,Country code,Spotify ID
11,R.A.W.,Germany,"Peine, Lower Saxony",Split-up,2004,2004-?,Melodic Thrash Metal,,Unsigned/independent,['Rawmance'],DE,
12,R.A.W.W.A.R.,Canada,"Quebec City, Quebec",Split-up,1985,1985-1992,Thrash Metal,,Unsigned/independent,['Delirium'],CA,
13,R.A.Z.,France,"Saint-Nazaire, Pays de la Loire",Split-up,2003,2003-2015,Death Metal,Darkness,Unsigned/independent,"['Erased society', 'Corruption', 'Point of No Return', '...in the Depths of Darkness']",FR,
14,R.B.Band,France,"Montdidier, Hauts-de-France",Active,1993,1993-present,Groove Metal,,Unsigned/independent,['Ecstasy of a Lonely Night'],FR,
15,R.C.P,United States,"Dover, Delaware",Changed name,2007,"2007, 2007 (as Reaping Stone), 2007-2011 (as Martyrs Melancholy), 2011-2014 (as Systematic Messiah)","Death, Doom Metal",,Unsigned/independent,['Kill Trend Suicide'],US,
16,R.D.S.K.,France,"Nice, Provence-Alpes-Côte-d'Azur",Active,2008,2008-present,Symphonic Gothic Metal,,Cauldron Soundwerx,"['Apocalypse of Mind', 'Go Away']",FR,
17,R.D.X.,Italy,"Livorno, Tuscany",Unknown,1996,1996-1999,"Groove, Thrash Metal","Post-atomic themes, Anti-racism, War, Human's environmental damages",Unsigned/independent,['R.D.X.'],IT,
18,R.E.B.E.L.S,Argentina,Santa Fe,Active,2020,2020-present,"Speed, Heavy Metal",,Unsigned/independent,['Pandemic Survivors'],AR,
19,R.E.T.,Czechia,"Třinec, Moravian-Silesian Region",Split-up,1989,1989-2019,"Heavy Metal (early); Doom, Gothic Metal (later)","Depression, Sadness",Crystal Productions,"['Depression', 'In Memories', 'X: 1989-1999', 'In Love with Blood', 'The Dark at the End of the Tunnel', 'New Feelings', 'Coming Soon...', 'Silence']",,
20,R.E.X.,Finland,"Hamina, Kymenlaakso",Active,2007,2007-present,Melodic Death Metal,,Unsigned/independent,"['Reborn Craft', 'Unknown']",FI,
21,R.H.D.,Brazil,"São Paulo, São Paulo",Active,2003,2003-present,Crossover,"Life, Problems, Humanity, Society",Unsigned/independent,"['Demo', 'Xô Governo']",BR,
22,R.I.P,Argentina,Buenos Aires,Active,,,"Groove, Thrash Metal",,Unsigned/independent,['RIP'],AR,
23,R.I.P,Malaysia,"Seremban, Negeri Sembilan",Active,2019,2019-present,Grindcore,,Unsigned/independent,['Unconditional War'],MY,799y3ia7wN6tb1LWNnLKXN
24,R.I.P Reapers,Ecuador,"Quito, Pichincha",Active,,,Thrash Metal,,Unsigned/independent,"[""No Man's Land""]",EC,
25,R.I.P.,Costa Rica,"Turrialba, Cartago",Split-up,2008,2008-?,Thrash Metal,Violence,Unsigned/independent,"['Imponiendo respeto', 'Atrapador de mentes']",CR,
26,R.I.P.,United States,Louisiana,Split-up,,,Thrash Metal,,Unsigned/independent,['Skeleton Circus'],US,
27,R.I.P.,France,Hayange,Active,1997,"1997-2001, 2021-present","Thrash, Death Metal","Mysticism, Evil, Rituals",Unsigned/independent,"['First Fucking Demo', 'Who Pays ?', 'R.I.P.', 'The Lord of Thrash E.P.', 'Rest in Pain', 'Music for the Unholy']",FR,
28,R.I.P.,Poland,"Raszyn, Masovia",Active,,,"Thrash, Speed Metal","Death, Nightmares, Graveyards",Sign of Evil Productions,"['Otwarcie czarnej materii', 'Burn the Sinner']",PL,
29,R.I.P.,Peru,Lima,Split-up,2005,"2005-2007 (as Kayser), 2007-?",Thrash Metal,"War, Darkness, Death",Warkult Productions,"['Ejecución sin misericordia', 'Southamerican Thrash Assault', 'Escape a la muerte', 'Escuadrón de muerte', 'United Metal Massacre']",PE,
30,R.I.P.,Germany,"Edingen-Neckarhausen, Baden-Württemberg",Split-up,2000,2000-?,"Black Metal, Avant-garde","Society issues, Occult, War, Death, Fantasy",Unsigned/independent,"['Demo #2', 'R.I.P']",DE,
31,R.I.P.,Germany,"Cologne, North Rhine-Westphalia",Active,,,Death Metal,"Death, Torment",Unsigned/independent,"['R.I.P. / As Good as Dead', 'Still Resting']",DE,2Lyp0qN9YQ7HS46srt3ToB
32,R.I.P.,Mexico,"Ciudad Nezahualcóyotl, State of Mexico",Active,1986,"1978-1981 (as The Yogui Band), 1986-?, 2013-present","Speed, Power Metal (early); Thrash Metal (later)","Fictional, Society",Discos y Cintas Denver,"['Metalmanía', 'Placer insano', 'Las damas de Salem', 'Demencia extrema']",MX,
33,R.I.P.,United States,"Portland, Oregon",Active,2011,2011-present,"Doom Metal, heavy psych","Death, Fear, Panic, Dying",RidingEasy Records,"['Demo', 'Doom Is Dead', 'In the Wind', 'Street Reaper', 'Live from Death Row', 'Dead End']",US,3xDq3szO5rr4Gue3jFeqBH
34,R.I.P.,United States,"Seattle, Washington",Active,1986,"1986-1997, 2013-present","Power, Thrash Metal",Environmental,Revolutionary Records,"['Rest in Pieces', 'Global Warning', 'Save the Earth or Die with It - LIVE!', 'Rest in Pieces / Global Warning - Double Album', 'Back from the Grave - LIVE']",US,
35,R.I.P. Sanity,United Kingdom,"London, England",Split-up,2009,2009-2016,"Thrash, Death Metal",,Unsigned/independent,"['Enter the Asylum', 'The Genome Paradox']",GB,
36,R.I.P. Soldier,Brazil,"Recife, Pernambuco",Split-up,2006,"2004-2009 (as War Satanic), 2004-2009 (as Thrash Metal War), 2006-2010",Thrash Metal,"Belligerent content, Death",Unsigned/independent,"['War Rehearsal', 'The True Soldiers Never Die']",BR,
37,R.N.D.,Czechia,"Svitavy, Pardubice Region",Split-up,,,Death Metal,,Unsigned/independent,['Desymphony'],,
38,R.N.V.,China,,Active,2016,2016-present,"Black, Death Metal",Death,Pest Productions,"['Emblem of the Desecrated', 'Nonentity of Anguish']",CN,
39,R.O.C.K.,United States,"Arlington, Texas",Changed name,1987,"1987-1992, 1992-2005 (as Thunderchild)",Heavy Metal,Christianity,Unsigned/independent,['Revolution of Christian Knights'],US,
40,R.O.D.,Poland,"Lublin, Lublin",Active,2005,"2005-? (as Inkubator), ?-2009 (as Razor of Death), 2009-present",Thrash Metal,"Violence (early); Polish far-right politics, Nationalism, Conservatism (later)",Defense Records,"['Tactical Headshot', 'Chopped by Razor', 'Death for All', 'March or Die', '#SocietyKill', 'HateSpeech']",PL,0nxUJvEBRXNiLOkYSPFXT6
41,R.O.J.O.,Spain,"Valencia, Valencian Community",Split-up,2000,2000-2019,Thrash Metal,"Alcohol, Drugs, Music, Politics",Producciones Malditas,"['R.O.J.O.', 'Sobran cerdos en este mundo', 'Crisis']",ES,
42,R.O.L.F.,Spain,"Algeciras, Andalusia",Active,2007,2007-present,"Doom, Sludge Metal, Death 'n' Roll",,Unsigned/independent,"['R.O.L.F.', 'American Tape', 'Es un hermoso lugar para morir', 'Martyrs', 'ThunderKiss', 'Taró de muerto']",ES,12LQtq9eHCMuh8tkzqFctE
43,R.O.T.,United States,"York, Pennsylvania",Split-up,1986,"?-1986 (as Nightmare), 1986-?","Power, Speed Metal",,Unsigned/independent,"['War Stories', 'Breed the Toxic', 'Brave New World']",US,
44,R.O.T.,Italy,"Cassino (Frosinone), Lazio",Active,2017,"2015-2017 (as Escape from the Memories), 2017-present",Death Metal,,Vault Lab Recordings,"['Revolution of Two', 'Jake and the Neverland Pirates', 'The Bold and the Beautiful', 'Kaiju', 'Bejelit', 'ПОНАРОШКУ', 'Hypa Hypa', 'Pretending to Live', 'You Should See Me in a Crown', 'Kami', 'Kurama', 'Lifeblood']",IT,4bJNPmPbW39WFpitrzhPLB
45,R.O.T.,Spain,"Barcelona, Catalonia",Split-up,1990,1990-?,Thrash Metal,,Unsigned/independent,[],ES,
46,R.P.F.,Netherlands,"Rotterdam, South Holland",Split-up,,,"Thrash Metal, Crossover",,Unsigned/independent,"[""Either You're a Pigfucker, or You Are a Fucking Pig!"", 'Reasons Perishing For']",NL,
47,R.U. Dead?,Germany,"Ulm, Baden-Württemberg",Split-up,1989,"1989-1992, 1994-1998",Death Metal,"Death, Killing",Majestic Union,"['...Simply Dead.', 'Individual Horror', 'Promotape', 'Hypnos', 'Fleshcrawl / Supuration / R.U. Dead?', 'Nothing Will Be Forgiven', 'A Thought Before the Kill', 'Final Session', 'Monolith / R.U. Dead?', '...Completely Dead', 'Dead but Alive']",DE,
48,R.U. Deadly,United States,"Salem, Ohio",Split-up,1987,"1987-1998, 2007","Thrash, Power Metal","Life, Metal, Destiny, Relationships, Fantasy, Violence, Characters",RUD Records,"['Burial at Sea', 'Into the Light', 'R.U. Deadly', 'N.E.M.C:1 Compilation']",US,
49,R.U.S.T.,Romania,Bucharest,Active,2004,2004-present,"Heavy Metal, romanian metal","Fantasy, Religion, Good vs. Evil",Pure Underground Records,"['The Beginning...', 'Warriors of Heaven', 'Legends']",RO,4rhabTL65rLHnMtrl9LMq0
50,R.U.S.T.X,Cyprus,"Agioi Trimithias, Nicosia",Active,2004,"2003-2004 (as Flames in Ice), 2004-2014 (as R.U.S.T.), 2014-present","Heavy Metal, cypriot metal","Fantasy, Heavy Metal",Pitch Black Records,"['Rust', 'Metal Child', 'Forged in the Fire of Metal', 'Destiny Riders', 'T.T.P.M.', 'Center of the Universe']",CY,4CcljywCTcuyzxW0ZtlckP
51,R.Y.N.O.,United States,"San Francisco, California",Active,2021,2021-present,Death Metal,"Death, Dark fantasy",Unsigned/independent,['Doomed'],US,
52,R'luhh,Canada,"Quebec City, Quebec",Active,,,Progressive Black Metal,Instrumental,Unsigned/independent,"['Li', 'Impersonal Bleeding', 'Exhaustion']",CA,
53,R'lyeh,Mexico,"Tlalnepantla, State of Mexico",Active,1991,1991-present,Death Metal,"H. P. Lovecraft, Cthulhu",Dark Recollections Productions,"[""R'lyeh / Devourment"", 'Ancestral Terrors', 'The Black Island', 'Back to the Cult', 'In the Infernal Moment', 'Ritual of Darkness', 'Ancestral Terrors & the Black Island', 'From the Abyss - Live 02.04.1995']",MX,
54,R'lyeh,United States,"Indianapolis, Indiana",Unknown,2013,2013-2015,"Progressive Stoner, Post-Metal",Instrumental,Unsigned/independent,['Color Out of Space'],US,
55,R'lyeh,Russia,"Vyksa, Nizhny Novgorod Oblast",Split-up,2005,2005-2009,Atmospheric Black Metal,,Abulia Production,['In die Finsternis versinken'],,
56,R'lyeh,United States,"Tempe, Arizona",Active,,,"Progressive, Black Metal",,Unsigned/independent,"['Celestial Malefactor', 'Conform']",US,
57,R2,Croatia,Zagreb,Changed name,2001,2001-?,Progressive Metal,,Unsigned/independent,['Given Away'],HR,
58,R230,United States,"Yonkers, New York",Changed name,,"?-2007, 2007-? (as Earthbound), ?-present (as Earthbound A.D.)",Heavy Metal,,Unsigned/independent,"['The Price of Power', 'Project: Blue Book', 'Killing Spree', 'The Afterlife', 'In God We Trust', 'Nuclear Religion', 'The Force of Hate']",US,
59,R6M5,Belarus,"Barysaw, Minsk Region",On hold,2013,2013-2015,Groove Metal,,Unsigned/independent,"['Провокатор', 'MuzTank']",BY,0rd9ZHOfMqNeB1TnALFKBv
60,Ra,Finland,"Helsinki, Uusimaa",Unknown,,,Heavy Metal,Egyptian mythology,EMI,"['Painajainen', 'Mä tiedän', 'Punaiseen virtaan', 'Punainen virta']",FI,
61,RA,Romania,Bucharest,On hold,1999,"1995-1999 (as Drusus), 1999-?","Gothic Metal, Darkwave",Poetry,Tribal,"['Geniu pustiu', 'Sinnocence']",RO,
62,Ra-Hoor-Khuit,Ireland,"Dublin, Dublin",Split-up,,,Black Metal,,Unsigned/independent,['Sigillum Dei Æmeth'],IE,
63,Ra-Kish,Germany,"Bielefeld, North Rhine-Westphalia",Active,2004,2004-present,Death Metal,,Unsigned/independent,[],DE,
64,Ra-M-Ha,Russia,Moscow,Split-up,2005,2005-?,"Black, Doom, Pagan Metal","Russian History, Heathendom, Anti-Christianity",Unsigned/independent,['Echoe of the Dark Age'],,
65,Ra's Dawn,Germany,"Koblenz, Rhineland-Palatinate",Active,2001,2001-present,Progressive Metal,"War, Fear, Egyptian Mythology",Unsigned/independent,"['Solar Force', 'Unveiling the Grotesque', 'Scales of Judgement', 'At the Gates of Dawn', 'From the Vile Catacombs']",DE,
66,Raa Hoor Khuit,Germany,"Ingolstadt/Munich/Augsburg, Bavaria",Active,1999,1999-present,Symphonic Black Metal,,Hit That,"['Beyond Addiction', 'Passage Through Sephiors']",DE,
67,Raakku,Finland,"Helsinki, Uusimaa",Split-up,2006,2006-2007,"Atmospheric Doom, Death Metal",Life,Unsigned/independent,['Seed Divine'],FI,
68,Raaksha,Sri Lanka,"Colombo, Western Province",Split-up,2008,2008-2011,Experimental Black Metal,"Rituals, Dark arts, Scarification, Demonology",The Slum,"['Sidhapathini (සිධපතිනි)', 'Rana Gosha (රණ ඝෝෂා)', 'As Agony Unfolds']",LK,
69,RAAM,Ecuador,"Cuenca, Azuay",Active,2012,"2012-2020, 2020-present (as RAAM Rock)","Heavy Metal, Hard Rock","Conspiracy theories, Agnostic themes, R&R, Comedy",Gate of Horror Productions,"['Demo 2012', 'Demo', ""In the Name of the Devil's Ass"", 'Rockefeller Loves You All', 'Live', 'Master Tapes', 'Master Tapes II', ""The Raam Rock'n'Roll-Blues Tribute Vol. 1 - The Garage Rehearsals 2012-2015"", ""The Raam Rock'n'Roll-Blues Tribute Vol. 2 - The Garage Rehearsals 2012-2015"", 'To Hell and Back', 'Fire of Glory', 'Live & Fire M.M.X.X.I']",EC,
70,Raani,Finland,"Oulu, Pohjois-Pohjanmaa",Active,,,Black Metal,,Unsigned/independent,['Henkikutsu'],FI,
71,Raat,India,New Delhi,Active,,,"Post-Rock, Shoegaze, Post-Black Metal",,Flowing Downward,"['Once', 'Déraciné', 'Ashen', 'Fog', 'Welkin', 'Penance', 'The Black Crow', ""Raison d'être"", 'Sylvan', 'Avenir', 'Litost', 'Eternity', 'Celestial Woods']",IN,23X9RzKhXQRfswLRIPKgy7
72,Raate,Finland,"Helsinki, Uusimaa",Unknown,2004,2004-?,Black Metal,"Medieval Times, Pillaging, Death",Spinefarm Records,"['Demo I', 'Sielu, linna', 'Menetyksen tie']",FI,
73,Raaz,United States,"Anchorage, Alaska",On hold,2010,2010-present,Death Metal,"Cosmos, Philosophy, Occult",Unsigned/independent,['Sever the Stars'],US,
74,Rabbath Ammon,Jordan,"Amman, Amman",Split-up,2001,2001-?,"Thrash, Black Metal","Sacrifice, Mythology, Death, Suffering",Legion of Death Records,"['Rabbath Ammon', ""Ammonites' Knights' Nights""]",JO,
75,Rabbi Steel,United States,"Buffalo, New York",Split-up,,,Heavy Metal,,Unsigned/independent,['Demo 1983'],US,
76,Rabbits,United States,"Portland, Oregon",Active,2005,2005-present,"Sludge Metal, black sludge, portland metal",,Good to Die Records,"['Rabbits / Under Mountains', 'Sloth vs. Bees', 'Live @ KPSU (Radio)', 'Alive', 'Hide', 'Lower Forms', 'Flexihead', 'Riff Fuck Reap', 'Mars', 'Carne De Perro / War, Oh My', 'Bites Rites', 'Live @ KPSU (Computer)', 'Blood on Bunny / Yr In Luck', 'SOS (Singles, Other Shit)', 'Whores. / Rabbits', 'Untoward', 'Nakaken (Live) / Space + Time (Live)', 'Gay*Bits']",US,2tTxtNydtxriMa8pmni35l
77,Rabbits Carrot,Sweden,"Strömstad, Västra Götaland",Split-up,1987,1987-?,Thrash Metal,"Violence, Anti-Christian",Unsigned/independent,"['Moonshine', 'A Question in Pain', 'Fracture', 'Devouring Death']",SE,
78,Rabdos,Mexico,"San Cristóbal de las Casas, Chiapas",Active,2019,2019-present,Black Metal,,Unsigned/independent,"['XI\u200b:\u200bBAL\u200b:\u200bBA - Sacrificio, muerte y venganza']",MX,
79,Rabe,Belgium,"Oostmalle, Antwerp",Split-up,2004,2004-?,Black Metal,"Hate, Satanism",Irdenwerk Productions,['Rabe'],BE,
80,Rabea Massaad,United Kingdom,"Brighton, East Sussex, England",Active,,,Progressive Metal,,Unsigned/independent,"['Grinding Gears', 'Grinding Gears Vol. 1 & 2', 'Grinding Gears, Vol. 2', 'Far Gone', 'Asylum', 'Grinding Gears Vol. 3']",GB,
81,Rabeen,Iraq,"Kirkuk, Kirkuk",Active,,"?-? (as Rebeen Dark), ?-present","Heavy, Thrash Metal","Mesopotamian mythology and heritage, Philosophy",Unsigned/independent,"['Black Tears', 'Ereshkigal']",IQ,
82,Raben,Netherlands,,Active,2012,2012-present,Black Metal,"Murder, Nature, Hatred of humanity",Unsigned/independent,['The Origin of Monstrosity'],NL,
83,Raben Nacht,Austria,"Linz, Upper Austria",Split-up,2000,2000-?,Raw Pagan Metal,"Nature, Nordic Poetry, Paganism",Unsigned/independent,['Demo 1'],AT,
84,Rabenholz,Germany,"Heilbronn, Baden-Württemberg/Fulda, Hesse",Active,2006,2006-present,Black Metal,"Nature, Misanthropy",Helheim Productions,['Akt I - Auf welken Schwingen...'],DE,
85,Rabennacht,Germany,Hamburg,Active,2004,2004-present,Black Metal,"Hate, War",Donnerberg Rex,"['Deep in the Spirit of Underground Black Metal', 'Rabengeschrei', 'Hass und Kälte', 'Gassturm / Rabennacht']",DE,
86,Rabenschrei,Germany,,Active,,,Black Metal,National Socialism,Germania Versand,"['Rabenschrei', 'Rabenschrei / Wolfssang']",DE,
87,Rabenstein,Unknown,,Active,,,Raw Black Metal,"Satanism, Hatred, Misanthropy",Barbatos Productions,['Krieger des Nordens'],,
88,Rabensumpf,Germany,Lower Saxony,Split-up,2009,2009-2012,Pagan Black Metal,"Old worths, Nature, Individualism",Talheim Records,"['Auf der Suche nach dem alten Weg', 'Blutsbund', 'Heimkehr aus der Schlacht', 'Nordseele', 'Geister der Melancholie']",DE,
89,Rabenvolk,Germany,"Stockach, Baden-Württemberg",Active,2007,2007-present,Raw Black Metal,"Misanthropy, Anti-Christianity, Satanism",Thor's Hammer Productions,"['Ritualmord / Massengrab / Rabenvolk', 'Satanic Ritual Storm']",DE,
90,Rabenwolf,Germany,Hamburg,Split-up,2007,2007-2020,Folk Metal,"Paganism, Nature",Unsigned/independent,"['Aus alten Zeiten', 'Stethu', '...zu Staub']",DE,3u6TIzxCbd0m9NuX2kV5XF
91,Rabhas,Italy,"Bologna, Emilia-Romagna",Active,2010,2010-present,Death Metal,"Madness, Insanity, Decay",Unsigned/independent,"['Demo 2013', 'Demolizione', 'Maelstrom']",IT,
92,Rabia,Puerto Rico,San Juan,Split-up,2000,2000-2008,"Groove Metal, Hard Rock",,Unsigned/independent,"['Deadly Viral Disease Promo', 'Bad Wish', 'Side Effects of a Viral Disease']",PR,
93,Rabia,Argentina,Buenos Aires,Split-up,1995,1995-?,Heavy Metal,"Violence, Social decay",Unsigned/independent,"['Rabia', 'Volumen vivo']",AR,6i1cI4Pv2wIIal9Q1q2tDo
94,Rabia Perez,Spain,"Madrid, Community of Madrid",Active,2011,2011-present,Heavy Metal,,Lady Stone Records,"['Rabia Perez', 'Venganza', 'Un nuevo mundo']",ES,
95,Rabiacabra,Argentina,"Quilmes, Buenos Aires",Active,1999,1999-present,Heavy Metal,,Unsigned/independent,['Iluminando un mañana'],AR,
96,Rabid,United States,"Sacramento, California",Split-up,1984,1984-1987,"Thrash, Speed Metal",,Unsigned/independent,"['Demo', 'Led to the Gallows']",US,
97,Rabid,Canada,"Montréal, Quebec",Split-up,1986,1986-?,Thrash Metal,,Unsigned/independent,['More to Come'],CA,
98,Rabid,United States,"Moravia, New York",Active,2003,2003-present,Death Metal (early); Thrash Metal (later),"Gore, Horror movies, War, Death, Metal",Reaper Metal Records,"['Ultimo Mondo Demo', 'Make Them Die Slowly', 'Rabid and Funerot Are Insane for Brains!', 'Non Stop Violence', 'Annihilation', 'Nunslaughter / Rabid']",US,5zx8ZdUz53rEANOEJcMWZG
99,Rabid,Italy,"Monza, Lombardy",Active,,,Black Metal,,Unsigned/independent,"['First Infection', 'Depravity']",IT,2nLQ2V6Ub5YxnI8pUABmEZ
100,Rabid,United States,"Boston, Massachusetts",Unknown,2016,2016-?,Technical Death Metal,,Unsigned/independent,['Rabid'],US,
101,Rabid Beast,United States,"Chicago, Illinois",Active,2012,"2012-2013, 2019-present",Thrash Metal,"Society, Violence, The unknown",Unspeakable Axe Records,"['Lower Animal', 'Rabid Beast', 'Glaring Madness', 'Piece by Piece']",US,
102,Rabid Bitch of the North,United Kingdom,"Belfast, County Antrim, Northern Ireland",Active,2005,2005-present,Heavy Metal,,Hostile Media,"['Heavy Meat Sessions', 'Heavy Meat Sessions 2', 'Outta the Kennel', 'Defending Two Castles', 'From the Kennel to the Castle', 'Green Eyes', 'Live Demo 09/04/16', 'The Missionary', 'Nothing but a Bitter Taste', 'Trapped in 1999']",GB,
103,Rabid Captor,United States,"Milwaukee, Wisconsin",Split-up,1989,1989-?,Thrash Metal,,Unsigned/independent,"['Last Rites', 'Disciples of Hatred']",US,
104,Rabid Flesh Eaters,United States,"Arlington, Texas",Active,1986,"1986-1993, 1998-present","Thrash, Death Metal","Deaths, Murders",Unsigned/independent,"['Reign of Terror', 'R.F.E.']",US,
105,Rabid Lassie,United States,"San Ramon, California",Split-up,1985,1985-1988,"Thrash Metal, Crossover","Social, Politics",Unsigned/independent,['Camel Toes'],US,
106,Rabidly Dogs,Japan,"Sendai, Miyagi Prefecture",Split-up,1991,1991-?,"Hard Rock, Heavy Metal (early); Thrash Metal (later)",,Unsigned/independent,[],JP,
107,Rabies,Russia,"Magnitogorsk, Chelyabinsk Oblast",Active,2006,2006-present,Symphonic Metal,,Metalism Records,"['Возвращение', 'Капля в бесконечность', 'Хрусталь', 'Портреты', 'Закат', 'Оборотень']",,15cdL6smgKB1I198FyitXd
108,Rabies,Philippines,"San Pablo, Calabarzon",Active,2009,2009-present,Thrash Metal,,Dethrone Records,"['Radiation Devastation', 'Apocalypse Agenda...', 'Survive the Slaughter', 'Thrash Command', 'Death Sentence to Mankind', 'Barbaric Cleansing']",PH,
109,Rabies Caste,Israel,"Jerusalem, Jerusalem",Split-up,1995,"1994 (as To Kill Mother), 1994-1995 (as Cradlenoise), 1995-2003","Stoner, Sludge Metal",,Dada Drumming,"['Self-Portrait of the Madness', 'Beef', 'Children Can Fall into Bucket and Drown', 'For the Vomiting Tractor Drivers', 'Let the Soul Out and Cut the Vein', 'Rabies Caste / Sourvein', 'Rabies Caste', 'Unreleased Materials EP']",IL,
110,Rabihem,"Korea, South",Seoul,Active,2006,2006-present,"Progressive, Power Metal",,Unsigned/independent,"['The Choice', 'The Brave']",,
111,Rabujos,Brazil,"Recife, Pernambuco",Active,1994,1994-present,"Grindcore, brazilian grindcore, rock pernambucano",,Unsigned/independent,"['Contra Tudo e Contra Todos', 'Sinfonia da Desgraça', 'Terra Batida', 'Quatro Mil Corpos', 'Desconforto', 'Aphorism/Rabujos']",BR,5P3LRd1P5uS56B3ItWDW2B
112,The Race,Austria,Vienna,Unknown,,,Heavy Metal,,Schaffler Records ,['Stainless Steel'],AT,
113,Race Against Time,United Kingdom,"Nottingham, Nottinghamshire, England",Split-up,1978,1978-1982,"NWOBHM, Heavy Metal",,Unsigned/independent,"['Demo 1980', 'Time Waits for No Man']",GB,
114,Race of Devils,United States,"Columbus, Ohio",Active,2013,2013-present,Stoner Metal,,Unsigned/independent,"['Verbis Satanas', 'Race of Devils']",US,
115,Racer Steel,Chile,Santiago,Active,2017,2017-present,"Heavy, Speed Metal","Mythology, Heavy Metal, Power",Savage Records,"['Living on the Edge', 'No Time to Go Back!!!']",CL,
116,Racer Truck,Brazil,"Niterói, Rio de Janeiro",Split-up,2002,2002-2007,"Heavy Metal, Hard Rock",,Unsigned/independent,"['Racer Truck', ""Rock'n'Roll for All""]",BR,
117,Racer X,United States,"Los Angeles, California",On hold,1984,"1984-1989, 1997-2009","Heavy Metal, Shred","Life, Others",Shrapnel Records,"['Street Lethal', 'Second Heat', 'Guitar Player Magazine', 'Extreme Volume', 'Extreme Volume II', 'Technical Difficulties', 'Superheroes', 'Snowball of Doom', 'Snowball of Doom - Live at the Whisky', 'Getting Heavier', 'Snowball of Doom 2', 'Works']",US,
118,Races,Germany,"Mainz, Rhineland-Palatinate",Split-up,1987,1987-1995,Thrash Metal,,Unsigned/independent,"['Beginning of a Nightmare', 'The Last Great Act of Defiance', 'Seed of Aggression', 'Total Violence']",DE,
119,Rache,Unknown,,Active,,,"Black Metal, RAC",National Socialism,Acta Non Verba Rex,"[""Vril's Soldiers"", 'Rehearsal 718.2020', 'Under the Banner of the Swastika', 'Teutonic Soldiers of the Vril', 'Magnus Triunvirato', 'War Crimes/Under the Signal']",,
120,RacheEngel,Germany,"Halver, North Rhine-Westphalia",Active,2004,"2003-2004 (as In Ol Vendo), 2004-present","Gothic, Folk Metal","Nature, Dreams, Personalities",Unsigned/independent,"['Herzleid', 'Sternenhimmel', 'Nordwind', 'Sündenfall', 'Ascheregen']",DE,6eCcCyOIWSloGxJQCxcsPm
121,Rachel Mother Goose,Japan,"Nagoya, Aichi Prefecture",Active,1999,1999-present,Melodic Heavy Metal,,Spiritual Beast,"['Rachel Mother Goose', 'Magic Wand', 'Demo #2', 'Nadir', 'Mother', 'Fortune', 'Fortune Missionary', 'Kairos', 'Signs', 'Fiercest Warrior', 'Out from Under', '10th Anniversary Demo Song', 'Pray for Revenge', 'Tokiwa no Sai', 'Synra Bansho']",JP,
